,Org,Symbol,regularMarketPrice,previousClose,bidPrice,askPrice,DailyChange
0,Brasilagro,AGRO3F.SA,29.79,30.38,29.66,29.74,-1.94%
1,Porto Seguro,PSSA3F.SA,19.06,19.32,19.09,19.2,-1.35%
2,Petrobras,PETR4F.SA,30.53,30.66,30.45,30.57,-0.42%
3,Petrobras,PETR4F.SA,30.53,30.66,30.45,30.57,-0.42%
4,Santander BR,SANB4F.SA,16.61,16.71,16.51,16.77,-0.6%
5,Aliansce Sonae,ALSO3.SA,18.67,18.46,18.68,18.64,1.14%
6,Brasilagro,AGRO3F.SA,29.79,30.38,29.66,29.74,-1.94%
7,Brasilagro,AGRO3F.SA,29.79,30.38,29.66,29.74,-1.94%
8,Santander BR,SANB4F.SA,16.61,16.71,16.51,16.65,-0.6%
9,Santander BR,SANB4F.SA,16.61,16.71,16.51,16.65,-0.6%
10,XP Inc,XPBR31.SA,110.5,114.48,110.61,111.0,-3.48%
11,Santander BR,SANB4F.SA,16.61,16.71,16.51,16.65,-0.6%
